Name,Type,Creator,Original Languages,Genres,"Country of Original Release, Country of Author",,Year Published,Month Finished,Main City Consumed,Rewatch/Reread?,Duration (Pages or Minutes),Favorites,Notes
Sapiens: A Brief History of Humankind,Book,Yuval Noah Harari,Hebrew,"Non-fiction, History, Sociology",Israel,Anthropology,2011,2023-00,"Oakland, CA, USA",,,Y,
Visit from the Goon Squad,Book,Jennifer Egan,English,"Fiction, Novel, Science Fiction",,Time,2010,2023-00,"Oakland, CA, USA",,,,
The Heart of the Buddha's Teaching,Book,Thich Nhat Hanh,English,"Spirituality, Buddhism",U.S.,,1998,2023-12,"Oakland, CA, USA",,,Y,
21 Lessons for the 21st Century,Book,Yuval Noah Harari,Hebrew,"Non-fiction, Social Philosophy",Israel,,2018,2024-00,"London, UK",,,,
"Tomorrow, Tomorrow, and Tomorrow",Book,Gabrielle Zevin,English,Coming-of-age,U.S.,Games,,2024-00,"New York, NY, USA",,,,
Past Lives,Film,Celine Song,"English, Korean","Romance, Drama","Canada, U.S., South Korea",,2023,2024-03,Airplane,,,,
Ex Machina,Film,Alex Garland,English,"Sci-fi, Thriller",U.S.,,2015,2024-03,Airplane,,,,
Decision To Leave (헤어질 결심),Film,Park Chan-wook,Korean,"Romance, Mystery",South Korea,,2022,2024-04,Airplane,,,Y,
Shortcomings,Film,Randall Park,English,"Comedy, Drama",U.S.,"Asian American, Dating",2023,2024-05,"Oakland, CA, USA",,,,
Fallen Leaves,Film,Aki Kaurismäki,Finnish,"Romance, Comedy, Drama",Finland,"Loneliness, Melancholy",2023,2024-08,Airplane,,,Y,
Beef,Film (TV),Lee Sung Jin,English,"Drama, Psychological Thriller",U.S.,"Asian American, Anger",2023,2024-08,"Helsinki, FI",,,Y,
Goodfellas,Film ,Martin Scorsese,English,"Gangster, Action, Crime, Thriller",U.S.,,1990,2024-12,Airplane,,,,
Lord of the Rings: Fellowship of the Ring,Film ,Peter Jackson,English,"Fantasy, Adventure",U.S.,Greed,2001,2024-12,"Berkeley, CA, USA",,,,
Lord of the Rings: The Two Towers,Film ,Peter Jackson,English,"Fantasy, Adventure",U.S.,Greed,2002,2024-12,"Berkeley, CA, USA",,,,
Lord of the Rings: The Return of the King,Film ,Peter Jackson,English,"Fantasy, Adventure",U.S.,Greed,2003,2024-12,"Berkeley, CA, USA",,,,
The Hobbit,Book,J. R. R. Tolkien,English,"Fiction, Novel, Fantasy, Juvenile Fantasy",United Kingdom,,1937,2024-12,"Berkeley, CA, USA",,,,
The Arrival,Film,Denis Villeneuve,English,"Sci-fi, Thriller",U.S.,Language,2016,2024-12,"Los Angeles, CA, USA",,,Y,
Kiki's Delivery Service,Film,Hayao Miyazaki,Japanese,"Family, Fantasy",Japan,,1989,2024-12,"Berkeley, CA, USA",,,,
