direction,speed,created_at
247,1,2024-11-15 15:57:42 UTC
202,3,2024-11-15 15:57:49 UTC
67,1,2024-11-15 15:57:55 UTC
337,3,2024-11-15 15:58:01 UTC
0,6,2024-11-15 15:58:07 UTC
22,2,2024-11-15 15:58:13 UTC
337,4,2024-11-15 15:58:22 UTC
0,3,2024-11-15 15:58:26 UTC
22,6,2024-11-15 15:58:33 UTC
202,3,2024-11-15 15:58:39 UTC
292,7,2024-11-15 15:58:45 UTC
157,6,2024-11-15 15:58:51 UTC
112,6,2024-11-15 15:58:58 UTC
22,3,2024-11-15 15:59:04 UTC
337,4,2024-11-15 15:59:10 UTC
270,4,2024-11-15 15:59:16 UTC
270,1,2024-11-15 15:59:23 UTC
292,4,2024-11-15 15:59:29 UTC
292,2,2024-11-15 15:59:35 UTC
292,1,2024-11-15 15:59:42 UTC
270,1,2024-11-15 15:59:48 UTC
157,2,2024-11-15 15:59:54 UTC
157,3,2024-11-15 16:00:00 UTC
157,0,2024-11-15 16:00:06 UTC
202,1,2024-11-15 16:00:13 UTC
202,3,2024-11-15 16:00:19 UTC
292,1,2024-11-15 16:00:26 UTC
337,1,2024-11-15 16:00:32 UTC
67,3,2024-11-15 16:00:38 UTC
157,2,2024-11-15 16:00:44 UTC
247,3,2024-11-15 16:00:51 UTC
247,2,2024-11-15 16:00:57 UTC
247,2,2024-11-15 16:01:03 UTC
202,2,2024-11-15 16:01:09 UTC
202,2,2024-11-15 16:01:15 UTC
202,4,2024-11-15 16:01:22 UTC
202,3,2024-11-15 16:01:28 UTC
202,2,2024-11-15 16:01:34 UTC
157,1,2024-11-15 16:01:41 UTC
112,2,2024-11-15 16:01:47 UTC
67,1,2024-11-15 16:01:53 UTC
157,1,2024-11-15 16:01:59 UTC
67,2,2024-11-15 16:02:06 UTC
22,0,2024-11-15 16:02:12 UTC
22,1,2024-11-15 16:02:18 UTC
292,3,2024-11-15 16:02:24 UTC
247,1,2024-11-15 16:02:31 UTC
270,1,2024-11-15 16:02:37 UTC
247,1,2024-11-15 16:02:43 UTC
247,1,2024-11-15 16:02:50 UTC
157,2,2024-11-15 16:02:56 UTC
202,2,2024-11-15 16:03:04 UTC
157,2,2024-11-15 16:03:09 UTC
157,4,2024-11-15 16:03:15 UTC
157,3,2024-11-15 16:03:21 UTC
157,2,2024-11-15 16:03:27 UTC
135,4,2024-11-15 16:03:34 UTC
202,4,2024-11-15 16:03:40 UTC
202,3,2024-11-15 16:03:46 UTC
247,3,2024-11-15 16:03:53 UTC
270,2,2024-11-15 16:03:59 UTC
270,1,2024-11-15 16:04:05 UTC
112,1,2024-11-15 16:04:11 UTC
22,1,2024-11-15 16:04:18 UTC
270,3,2024-11-15 16:04:24 UTC
270,4,2024-11-15 16:04:30 UTC
270,2,2024-11-15 16:04:36 UTC
247,3,2024-11-15 16:04:43 UTC
157,2,2024-11-15 16:04:49 UTC
157,2,2024-11-15 16:04:55 UTC
112,1,2024-11-15 16:05:01 UTC
202,2,2024-11-15 16:05:08 UTC
270,1,2024-11-15 16:05:14 UTC
247,3,2024-11-15 16:05:20 UTC
202,6,2024-11-15 16:05:26 UTC
157,4,2024-11-15 16:05:33 UTC
180,4,2024-11-15 16:05:39 UTC
202,2,2024-11-15 16:05:46 UTC
157,2,2024-11-15 16:05:52 UTC
270,3,2024-11-15 16:05:58 UTC
292,2,2024-11-15 16:06:04 UTC
157,3,2024-11-15 16:06:11 UTC
202,4,2024-11-15 16:06:17 UTC
157,6,2024-11-15 16:06:23 UTC
202,6,2024-11-15 16:06:29 UTC
180,7,2024-11-15 16:06:36 UTC
157,6,2024-11-15 16:06:42 UTC
270,3,2024-11-15 16:06:49 UTC
202,10,2024-11-15 16:06:55 UTC
